# Goxel 0.12.0
# One line per voxel
# X Y Z RRGGBB
40
0 0 0 5050ff
1 0 0 5050ff
2 0 0 5050ff
3 0 0 5050ff
4 0 0 5050ff
5 0 0 5050ff
6 0 0 5050ff
7 0 0 5050ff
8 0 0 5050ff
9 0 0 5050ff
10 0 0 5050ff
11 0 0 5050ff
12 0 0 5050ff
13 0 0 5050ff
14 0 0 5050ff
15 0 0 5050ff
16 0 0 5050ff
17 0 0 5050ff
18 0 0 5050ff
19 0 0 5050ff
20 0 0 5050ff
21 0 0 5050ff
22 0 0 5050ff
23 0 0 5050ff
24 0 0 5050ff
25 0 0 5050ff
26 0 0 5050ff
27 0 0 5050ff
28 0 0 5050ff
29 0 0 5050ff
30 0 0 5050ff
31 0 0 5050ff
32 0 0 5050ff
33 0 0 5050ff
34 0 0 5050ff
35 0 0 5050ff
36 0 0 5050ff
37 0 0 5050ff
38 0 0 5050ff
